Id,TIPO_PLACA,ANIO_DE_FABRICACION,CILINDRADA,CANTIDAD_DE_CILINDROS,CANTIDAD_DE_PUERTAS,VALOR_DEL_VEHICULO,COLORES,FECHA_DE_IMPORTACION,IMP_VALOR_DEL_VEHICULO,FECHA_DE_INGRESO,ANIO_INGRESO,MES_INGRESO,CLASE,PERTENENCIA,MARCA,MODELO,CAPACIDAD,COMBUSTIBLE,ADUANA,CONDICION_INGRESO,PROPIETARIO_DEPARTAMENTO,PROPIETARIO_MUNICIPIO,ESTADO
88940,PARTICULAR,1978,0,0,0,0,OCRE AMARILLO CAFE,,0,2/3/1989,1989,3,PICK UP,PROPIEDAD,SUBARU,CAMPER,1,GASOLINA,,VEHICULO USADO,SANTA ANA,SANTA ANA,ALTA
88941,PARTICULAR,1988,1800,0,0,0,GRIS C/F NEGRA,,0,2/3/1989,1989,3,AUTOMOVIL,PROPIEDAD,NISSAN,SUNNY,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88942,PARTICULAR,1982,0,0,0,0,GRIS AZUL,,0,9/2/1989,1989,2,AUTOMOVIL,PROPIEDAD,PEUGEOT,505 S,5,DIESEL,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88943,PARTICULAR,1988,0,0,0,0,ROJO,,0,6/1/1989,1989,1,PICK UP,PROPIEDAD,FIAT,N/D,0.5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88944,PARTICULAR,1985,0,0,0,0,NEGRO GRIS,,0,9/2/1989,1989,2,PICK UP,PLAZOS,TOYOTA,N/D,1,GASOLINA,,VEHICULO USADO,LA LIBERTAD,SANTA TECLA,BAJA
88945,PARTICULAR,1980,0,0,0,0,BEIGE AMARILLO,,0,2/3/1989,1989,3,PICK UP,PROPIEDAD,SUBARU,N/D,1,GASOLINA,,VEHICULO USADO,LA LIBERTAD,COLON,ALTA
88946,PARTICULAR,1981,0,0,0,0,ROJO MARRON AZUL,,0,11/11/1988,1988,11,PICK UP,DEPOSITO,DATSUN,N/D,1,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SOYAPANGO,BAJA
88947,PARTICULAR,1988,2800,0,0,0,AZUL BLANCO VERDE,,0,6/1/1989,1989,1,AUTOMOVIL,PROPIEDAD,MITSUBISHI,MONTERO,7,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88948,PARTICULAR,1982,0,0,0,0,CAFE,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,DATSUN,KING CAB,1,DIESEL,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88949,PARTICULAR,1988,0,0,0,0,GRIS ROJO NEGRO,,0,11/11/1988,1988,11,AUTOMOVIL,PROPIEDAD,NISSAN,N/D,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,ILOPANGO,ALTA
88950,PARTICULAR,1982,0,0,0,0,AZUL,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,TOYOTA,N/D,1,DIESEL,,VEHICULO USADO,AHUACHAPAN,SAN FRANCISCO MENENDEZ,BAJA
88951,PARTICULAR,1982,0,0,0,0,GRIS,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,DATSUN,N/D,1,DIESEL,,VEHICULO USADO,SANTA ANA,SANTA ANA,BAJA
